Date,month_sin,month_cos,day_of_week_sin,day_of_week_cos,days_since_start,GDP growth rate (%),Unemployment rate (%),Real interest rate (%),Inflation rate (%),Population growth (%),Export growth (%),Import growth (%),SentimentNum
2003-12-05,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,1434,3.769940254773986,5.5630273972602735,1.644586430124521,2.636213991553149,0.9248536860535408,12.906778919320384,15.683185391426475,0
2003-12-06,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,1435,3.7728229005991074,5.561767123287671,1.6432195423720923,2.6381722734667385,0.9250361352387008,12.933940601005473,15.705015778277936,0
2003-12-07,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,1436,3.775705546424229,5.560506849315068,1.641852654619664,2.640130555380328,0.9252185844238612,12.96110228269056,15.726846165129398,0
2003-12-09,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,1438,3.7814708380744713,5.557986301369863,1.6391188791148068,2.644047119207505,0.9255834827941816,13.01542564606074,15.770506938832323,0
2003-12-10,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,1439,3.784353483899592,5.55672602739726,1.637751991362378,2.6460054011210943,0.925765931979342,13.042587327745828,15.792337325683784,0
2003-12-11,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,1440,3.7872361297247137,5.555465753424658,1.6363851036099497,2.6479636830346838,0.925948381164502,13.069749009430918,15.814167712535244,0
2003-12-15,-2.4492935982947064e-16,1.0,0.0,1.0,1444,3.7987667130251994,5.550424657534246,1.6309175526002355,2.655796810689039,0.926678177905143,13.178395736171275,15.901489259941092,1
2003-12-16,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,1445,3.80164935885032,5.549164383561644,1.6295506648478069,2.657755092602628,0.9268606270903031,13.205557417856364,15.923319646792551,1
2003-12-17,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,1446,3.8045320046754414,5.547904109589041,1.6281837770953784,2.6597133745162167,0.9270430762754636,13.232719099541454,15.945150033644016,0
2003-12-18,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,1447,3.8074146505005615,5.546643835616439,1.6268168893429498,2.6616716564298057,0.9272255254606236,13.259880781226542,15.966980420495478,1
